repository_name,repository_url,has_sbom_artifact,has_signature_artifact,has_attestation_artifact,sbom_ci_tools_detected,latest_release_tag,latest_release_analyzed_at
kubeedge,https://github.com/kubeedge/kubeedge,false,false,false,signer,v0.1,2018-12-27T09:10:34Z
harbor,https://github.com/goharbor/harbor,false,false,false,sbom-generator,0.1.0,2016-03-11T07:19:43Z
cert-manager,https://github.com/cert-manager/cert-manager,false,false,false,,v0.1.0,2017-10-13T19:40:11Z
falco,https://github.com/falcosecurity/falco,false,false,false,signer,v0.1.0,2016-05-17T19:52:03Z
in-toto,https://github.com/in-toto/in-toto,false,true,false,signature,0.1.1,2017-11-09T19:54:34Z
opa,https://github.com/open-policy-agent/opa,false,false,false,sbom-generator,v0.1.0,2016-07-14T19:41:12Z
python-tuf,https://github.com/theupdateframework/python-tuf,false,true,false,signature,v0.7.5,2015-01-05T17:59:41Z
spiffe,https://github.com/spiffe/spiffe,false,false,false,,N/A,N/A
spire,https://github.com/spiffe/spire,false,false,false,signer,0.2pre1,2017-10-05T19:33:46Z
cubefs,https://github.com/cubefs/cubefs,false,false,false,signer,v1.0.0,2019-04-02T03:55:05Z
rook,https://github.com/rook/rook,false,false,false,,v0.1.0,2016-11-08T01:14:07Z
containerd,https://github.com/containerd/containerd,false,false,false,,0.0.4,2015-12-16T01:03:11Z
cri-o,https://github.com/cri-o/cri-o,false,false,false,signer,v0.1,2017-03-21T02:28:21Z
cilium,https://github.com/cilium/cilium,false,false,false,signer,v0.8.0,2017-03-28T10:56:08Z
keda,https://github.com/kedacore/keda,false,false,false,"sbom-generator,signer",v1.0.0,2019-11-16T18:58:06Z
serving,https://github.com/knative/serving,false,false,false,,v0.1.0,2018-07-17T04:56:30Z
kubernetes,https://github.com/kubernetes/kubernetes,false,false,false,,v0.4,2014-10-15T20:29:51Z
coredns,https://github.com/coredns/coredns,false,false,false,sbom-generator,v001,2016-09-18T13:25:47Z
etcd,https://github.com/etcd-io/etcd,false,false,false,,v0.1.0,2013-08-11T20:31:21Z
envoy,https://github.com/envoyproxy/envoy,false,false,false,,v1.0.0,2016-09-12T17:33:52Z
istio,https://github.com/istio/istio,false,false,false,,0.1.0,2017-05-10T04:32:18Z
linkerd2,https://github.com/linkerd/linkerd2,false,false,false,signer,v0.1.0,2017-12-05T05:05:32Z
tikv,https://github.com/tikv/tikv,false,false,false,,beta4,2016-11-01T08:19:11Z
vitess,https://github.com/vitessio/vitess,false,false,false,,v2.0.0-alpha1,2015-08-25T17:34:49Z
spec,https://github.com/cloudevents/spec,false,false,false,,v0.1,2018-04-20T17:15:54Z
dapr,https://github.com/dapr/dapr,false,false,false,,v0.1.0,2019-10-16T02:29:44Z
helm,https://github.com/helm/helm,false,false,false,,v1.2.1,2016-03-08T18:51:14Z
argo-cd,https://github.com/argoproj/argo-cd,false,false,false,"signer,sbom-generator,goreleaser",v0.1.0,2018-03-12T21:41:46Z
flux2,https://github.com/fluxcd/flux2,false,false,false,"sbom-generator,signer,goreleaser",v0.0.1-alpha.1,2020-05-06T11:28:59Z
fluentd,https://github.com/fluent/fluentd,false,false,false,,v1.14.5,2022-02-09T02:23:22Z
jaeger,https://github.com/jaegertracing/jaeger,false,false,false,,v0.5.0,2017-07-01T21:16:03Z
prometheus,https://github.com/prometheus/prometheus,false,false,false,,0.11.0,2015-02-23T19:21:00Z